"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"에너지원별(1)",에너지원별(2),에너지원별(3),에너지원별(4),전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,전국,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"신·재생에너지 총발전량①+② (MWh)",② 신에너지 합,자가용,소계,23147,4885,713,1625,949,2389,416,2003,15,4304,172,315,660,30,522,3691,458,-,49254,5073,811,2089,1131,2550,22760,2027,50,5820,139,421,1049,31,625,4092,585,-,58746,6050,1107,2349,1570,3227,23928,2183,70,8495,270,617,1585,630,1321,4185,967,191,70750,7219,2342,2837,2965,4284,25160,1418,72,10500,615,843,1978,1256,2170,4509,2193,390,79941.5010011457,8082.2504605854,3265.4590131038,3402.7168210837,4457.6867173015,4615.6927985808,25025.6096409912,1391.7303320755,70.224925013,12444.1759165056,865.0433944781,1002.3012024581,2416.3758288559,1758.8151673707,2486.6007538689,5068.9627691191,3204.810214229,383.0450455254
"신·재생에너지 지역별 발전비중 (%)",소계,소계,소계,100,1.21,1.07,0.37,1.39,0.39,0.13,2.5,0.18,5.66,6.55,2.81,18.98,9.52,23.56,18.88,3.32,3.49,100,1.19,1.06,0.41,2.1,0.51,0.21,2.19,0.2,6.42,7.16,2.87,17.22,11.42,20.31,17.67,3.74,5.32,100,1.5,1.08,0.53,3.42,0.73,0.29,2.19,0.36,9.65,11.26,5,17,15.86,11.45,8.57,5.36,5.75,100,1.54,1.22,0.5,3.99,0.68,0.29,1.78,0.34,9.34,11.63,4.39,16.76,16.43,12.16,8.67,5.02,5.26,100,1.251602897,1.2003977197,0.5077115112,3.3084863518,0.8156308399,0.3881638324,1.1937420058,0.2931374181,9.1191156094,11.214075412,4.8214844564,15.6175617855,17.9737168267,12.9480826646,9.198783171,4.9629968164,5.1853106819
"① 재생에너지",태양광 (MWh),소계,소계,10154964,161941,161433,109238,126232,187934,65877,75098,59810,752791,701797,554732,1192135,1644913,2098429,1223261,811509,227832,14192911,200569,195180,144052,159073,250572,80403,95105,69222,1085862,1055609,803035,1735476,2340375,2771005,1712302,1130759,364312,19337964,228302,227625,170703,190865,292567,92382,124484,85394,1441434,1408461,1115632,2479172,3241991,3972969,2317698,1457496,490790,24717623,244804,268850,203414,222103,323404,107759,147698,94225,1764822,1831240,1407403,3094979,4231407,5198466,3076962,1823756,676330,30726259.59505357,290528.1351869288,324351.1695828299,253577.2154701678,258249.3469287186,390494.0522376188,135264.6094631663,177457.7346828465,112269.9740658192,2133592.377782555,2181577.982013961,1711676.15411347,3693682.419909371,5534008.928122833,6376157.534934769,4085779.70223774,2279852.964014519,787739.2943062547
"① 재생에너지",태양광 (MWh),사업용,소계,8219173,38362,98890,58726,65488,142049,26893,36745,38657,440041,587855,398513,1045283,1504188,1908938,1066442,582716,179389,11759577,39190,116829,82179,81892,195597,31915,47753,43967,687554,911118,605671,1547863,2162670,2536757,1519137,848985,300499,16452484,43583,136752,99896,99094,229524,36864,70432,56631,977658,1233622,875883,2244663,3020066,3693137,2083240,1137923,413516,21444281,47615,167763,121912,115479,251906,42482,89913,62600,1247867,1627844,1139536,2820507,3973898,4881180,2802470,1463435,587874,26682923.661719,52124.154817,203829.844777,154257.261702,125697.164829,300547.169302,52470.010613,108421.172294,73232.134066,1492491.043747,1931527.306347,1389815.533239,3345851.020333,5211343.955157001,5991772.054393001,3732453.617137,1837387.129251,679703.089715
"① 재생에너지",태양광 (MWh),자가용,소계,1935790,123580,62544,50512,60744,45886,38984,38353,21154,312750,113943,156219,146852,140725,189491,156819,228794,48443,2433335,161379,78351,61873,77181,54976,48488,47353,25255,398308,144491,197363,187612,177705,234248,193165,281774,63813,2885480,184719,90873,70807,91770,63043,55518,54052,28763,463776,174839,239749,234509,221925,279832,234458,319574,77274,3273342,197189,101087,81502,106624,71499,65276,57786,31625,516955,203396,267867,274472,257510,317285,274492,360321,88456,4043335.933334568,238403.9803699288,120521.3248058299,99319.9537681678,132552.1820997186,89946.8829356188,82794.5988501663,69036.5623888465,39037.8399998192,641101.3340355548,250050.6756669615,321860.6208744703,347831.3995763705,322664.9729658332,384385.4805417688,353326.0851007398,442465.8347635184,108036.2045912547
"① 재생에너지",풍력 (MWh),소계,소계,2464879,209,513,28,42941,2,413,2476,-,5145,691429,17,3025,20660,352678,730469,78308,536566,2679248,191,341,25,43837,2,377,2287,-,4839,685508,26,2672,50718,488837,774049,75594,549944,3149948,204,253,26,52828,2,398,1514,-,5637,782333,28,3001,131208,576232,944038,74184,578062,3180017,198,67,25,39490,5,379,1745,-,4680,947359,49,2047,145910,525511,914994,68197,529363,3369457.624838409,202.2648603628,68.8232700948,25.7077093515,38773.9486976062,7.7200328383,386.0016419138,250.0368788119,-,4494.595272181,954664.1619380706,73.3403119636,2132.8068482425,161685.9662159727,585571.3306367256,913760.4846589712,133380.0042251693,573980.4316401338
"① 재생에너지",풍력 (MWh),사업용,소계,2454329,-,401,-,42745,-,-,2462,-,5091,689450,-,2972,20623,349435,729661,76611,534877,2669463,-,239,-,43658,-,-,2275,-,4785,683585,-,2617,50689,485876,773311,74042,548385,3139475,-,146,-,52639,-,-,1500,-,5573,780223,-,2934,131169,573109,943247,72537,576396,3169833,-,4,-,39272,-,-,1730,-,4609,945255,-,1976,145862,522524,914218,66617,527766,3358849.648843,-,5.326,-,38510.502577,-,-,231.5088,-,4418.147647,952471.672612,-,2021.0454,161630.960982,582492.38854,912959.531252,131768.640371,572339.924662
"① 재생에너지",풍력 (MWh),자가용,소계,10550,209,111,28,196,2,413,14,-,54,1979,17,53,37,3243,808,1697,1689,9785,191,102,25,179,2,377,12,-,55,1924,26,54,28,2960,737,1552,1559,10474,204,107,26,189,2,398,13,-,64,2110,28,67,39,3123,791,1647,1666,10184,198,62,25,218,5,379,15,-,71,2104,49,71,48,2987,776,1580,1596,10607.9759954097,202.2648603628,63.4972700948,25.7077093515,263.4461206062,7.7200328383,386.0016419138,18.5280788119,-,76.447625181,2192.4893260706,73.3403119636,111.7614482425,55.0052339727,3078.9420967257,800.9534069712,1611.3638541693,1640.5069781338
"① 재생에너지",수력 (MWh),소계,소계,3374375,1107,87,4031,35170,7931,342,877,1,707774,964593,862168,76778,219193,77965,233370,180669,2320,2791076,1753,101,3751,39953,7105,245,1323,-,566631,708305,628407,76824,231799,94430,237721,189868,2861,3879383,1112,93,12951,39579,7795,241,1457,-,649895,1062271,1010026,61599,285784,114120,319014,310046,3399,3057210,618,41,14518,41096,8230,257,1144,-,633233,713162,731058,57296,238930,86132,292238,236059,3198,3544865.910705999,378.927,243.962,14965.960104,30287.599128,6269.379144,121.611,437.350201,-,717533.3570350001,1169315.034453,824420.5983269999,52379.433044,212887.538893,56038.624616,238519.932023,218237.801712,2828.802026
"① 재생에너지",수력 (MWh),사업용,소계,3371552,1107,30,4031,34599,7931,-,877,1,706387,964593,862164,76688,219193,77965,233370,180669,1949,2788609,1753,31,3751,39663,7105,-,1323,-,565136,708305,628399,76773,231799,94430,237721,189868,2553,3877175,1112,38,12951,39546,7795,-,1457,-,648370,1062271,1010026,61499,285784,114120,319014,310046,3145,3054616,618,35,14518,40391,8230,-,1144,-,631891,713162,731058,57229,238930,86132,292238,236059,2981,3541073.202706,378.927,32.429,14965.960104,28437.936128,6269.379144,-,437.350201,-,716125.8360350002,1169315.034453,824420.5983269999,52367.430044,212887.538893,56038.624616,238519.932023,218237.801712,2638.425026
